common_name,scientific_name,order,family,genus,species,
oval guineapig louse,Gyropus ovalis Burmeister,Phthiraptera,Gyropidae,Gyropus,ovalis,
oxalis spider mite,Tetranychina harti (Ewing),Acari,Tetranychidae,Tetranychina,harti,
oxalis whitefly,Aleyrodes shizuokensis Kuwana,Hemiptera,Aleyrodidae,Aleyrodes,shizuokensis,
oystershell scale,Lepidosaphes ulmi (Linnaeus),Hemiptera,Diaspididae,Lepidosaphes,ulmi,
Pacific beetle cockroach,Diploptera punctata (Eschscholtz),Blattodea,Blaberidae,Diploptera,punctata,
Pacific cicada killer,Sphecius convallis (Patton),Hymenoptera,Crabronidae,Sphecius,convallis,
Pacific Coast tick,Dermacentor occidentalis Marx,Acari,Ixodidae,Dermacentor,occidentalis,
Pacific Coast wireworm,Limonius canus LeConte,Coleoptera,Elateridae,Limonius,canus,
Pacific cockroach,Euthyrrhapha pacifica (Coquebert),Blattodea,Polyphagidae,Euthyrrhapha,pacifica,
Pacific dampwood termite,Zootermopsis angusticollis (Hagen),Blattodea,Termopsidae,Zootermopsis,angusticollis,
Pacific flatheaded borer,Chrysobothris mali Horn,Coleoptera,Buprestidae,Chrysobothris,mali,
Pacific kissing bug,Oncocephalus pacificus (Kirkaldy),Hemiptera,Reduviidae,Oncocephalus,pacificus,
Pacific pelagic water strider,Halobates sericeus Eschscholtz,Hemiptera,Gerridae,Halobates,sericeus,
Pacific spider mite,Tetranychus pacificus McGregor,Acari,Tetranychidae,Tetranychus,pacificus,
Pacific tent caterpillar,Malacosoma constrictum (Hy. Edwards),Lepidoptera,Lasiocampidae,Malacosoma,constrictum,
Pacific willow leaf beetle,Tricholochmaea decora carbo (LeConte),Coleoptera,Chrysomelidae,Tricholochmaea,decora carbo,
Packard grasshopper,Melanoplus packardii Scudder,Orthoptera,Acrididae,Melanoplus,packardii,
painted beauty,Vanessa virginiensis (Drury),Lepidoptera,Nymphalidae,Vanessa,virginiensis,
painted hickory borer,Megacyllene caryae (Gahan),Coleoptera,Cerambycidae,Megacyllene,caryae,
painted lady,Vanessa cardui (Linnaeus),Lepidoptera,Nymphalidae,Vanessa,cardui,
painted leafhopper,Endria inimica (Say),Hemiptera,Cicadellidae,Endria,inimica,
painted maple aphid,Drepanaphis acerifoliae (Thomas),Hemiptera,Aphididae,Drepanaphis,acerifoliae,
pale apple leafroller,Pseudexentera mali Freeman,Lepidoptera,Tortricidae,Pseudexentera,mali,
pale damsel bug,Nabis capsiformis Germar,Hemiptera,Nabidae,Nabis,capsiformis,
pale juniper webworm,Aethes rutilana (Hübner),Lepidoptera,Tortricidae,Aethes,rutilana,
pale leaf spider,Cheiracanthium mordax L. Koch,Araneae,Clubionidae,Cheiracanthium,mordax,
pale leafcutting bee,Megachile concinna Smith,Hymenoptera,Megachilidae,Megachile,concinna,
pale legume bug,Lygus elisus Van Duzee,Hemiptera,Miridae,Lygus,elisus,
pale swallowtail,Papilio erymedon Lucas,Lepidoptera,Papilionidae,Papilio,eurymedon,
pale tussock moth,Halysidota tessellaris (J.E. Smith),Lepidoptera,Erebidae,Halysidota,tessellaris,
pale western cutworm,Agrotis orthogonia Morrison,Lepidoptera,Noctuidae,Agrotis,orthogonia,
pales weevil,Hylobius pales (Herbst),Coleoptera,Curculionidae,Hylobius,pales,
palesided cutworm,Agrotis malefida Guenée,Lepidoptera,Noctuidae,Agrotis,malefida,
palestriped flea beetle,Systena blanda Melsheimer,Coleoptera,Chrysomelidae,Systena,blanda,
pallidwinged grasshopper,Trimerotropis pallidipennis (Burmeister),Orthoptera,Acrididae,Trimerotropis,pallidipennis,
palm leafskeletonizer,Homaledra sabalella (Chambers),Lepidoptera,Coleophoridae,Homaledra,sabalella,
palm mealybug,Palmicultor palmarum (Ehrhorn),Hemiptera,Pseudococcidae,Palmicultor,palmarum,
palmerworm,Dichomeris ligulella Hübner,Lepidoptera,Gelechiidae,Dichomeris,ligulella,
pandanus mealybug,Laminicoccus pandani (Cockerell),Hemiptera,Pseudococcidae,Laminicoccus,pandani,
pandora moth,Coloradia pandora Blake,Lepidoptera,Saturniidae,Coloradia,pandora,
pantropical huntsman spider,Heteropoda venatoria (Linnaeus),Araneae,Sparassidae,Heteropoda,venatoria,
papaya fruit fly,Toxotrypana curvicauda Gerstaecker,Diptera,Tephritidae,Toxotrypana,curvicauda,
papaya mealybug,Paracoccus marginatus Williams and Granara de Willink,Hemiptera,Pseudococcidae,Paracoccus,marginatus,
parasitic grain wasp,Cephalonomia waterstoni Gahan,Hymenoptera,Bethylidae,Cephalonomia,waterstoni,
parlatoria date scale,Parlatoria blanchardi (Targioni Tozzetti),Hemiptera,Diaspididae,Parlatoria,blanchardi,
parsleyworm*,Papilio polyxenes Stoll,Lepidoptera,Papilionidae,Papilio,polyxenes,
parsnip webworm,Depressaria pastinacella (Duponchel),Lepidoptera,Oecophoridae,Depressaria,pastinacella,
pavement ant,Tetramorium immigrans Santschi,Hymenoptera,Formicidae,Tetramorium,immigrans,
pea aphid,Acyrthosiphon pisum (Harris),Hemiptera,Aphididae,Acyrthosiphon,pisum,
pea leaf weevil,Sitona lineatus (Linnaeus),Coleoptera,Curculionidae,Sitona,lineatus,
pea leafminer,Liriomyza huidobrensis (Blanchard),Diptera,Agromyzidae,Liriomyza,huidobrensis,
pea moth,Cydia nigricana (Fabricius),Lepidoptera,Tortricidae,Cydia,nigricana,
pea weevil,Bruchus pisorum (Linnaeus),Coleoptera,Chrysomelidae,Bruchus,pisorum,
peach bark beetle,Phloeotribus liminaris (Harris),Coleoptera,Curculionidae,Phloeotribus,liminaris,
peach silver mite*,Aculus fockeui (Nalepa & Trouessart),Acari,Eriophyidae,Aculus,fockeui,
peach twig borer,Anarsia lineatella Zeller,Lepidoptera,Gelechiidae,Anarsia,lineatella,
peachtree borer,Synanthedon exitiosa (Say),Lepidoptera,Sesiidae,Synanthedon,exitiosa,
peanut burrower bug,Pangaeus bilineatus (Say),Hemiptera,Cydnidae,Pangaeus,bilineatus,
pear midge,Contarinia pyrivora (Riley),Diptera,Cecidomyiidae,Contarinia,pyrivora,
pear plant bug,Neolygus communis (Knight),Hemiptera,Miridae,Neolygus,communis,
pear psylla,Cacopsylla pyricola Foerster,Hemiptera,Psyllidae,Cacopsylla,pyricola,
pear rust mite,Epitrimerus pyri (Nalepa),Acari,Eriophyidae,Epitrimerus,pyri,
pear sawfly,Caliroa cerasi (Linnaeus),Hymenoptera,Tenthredinidae,Caliroa,cerasi,
pear thrips,Taeniothrips inconsequens (Uzel),Thysanoptera,Thripidae,Taeniothrips,inconsequens,
pearleaf blister mite,Eriophyes pyri (Pagenstecher),Acari,Eriophyidae,Eriophyes,pyri,
pecan bud moth,Gretchena bolliana (Slingerland),Lepidoptera,Tortricidae,Gretchena,bolliana,
pecan carpenterworm,Cossula magnifica (Strecker),Lepidoptera,Cossidae,Cossula,magnifica,
pecan cigar casebearer,Coleophora laticornella Clemens,Lepidoptera,Coleophoridae,Coleophora,laticornella,
pecan leaf casebearer,Acrobasis juglandis (LeBaron),Lepidoptera,Pyralidae,Acrobasis,juglandis,
pecan leaf phylloxera,Phylloxera notabilis Pergande,Hemiptera,Phylloxeridae,Phylloxera,notabilis,
pecan leaf scorch mite,Eotetranychus hicoriae (McGregor),Acari,Tetranychidae,Eotetranychus,hicoriae,
pecan leafroll mite,Aceria caryae (Keifer),Acari,Eriophyidae,Aceria,caryae,
pecan nut casebearer,Acrobasis nuxvorella Neunzig,Lepidoptera,Pyralidae,Acrobasis,nuxvorella,
pecan phylloxera,Phylloxera devastatrix Pergande,Hemiptera,Phylloxeridae,Phylloxera,devastatrix,
pecan serpentine leafminer,Stigmella juglandifoliella (Clemens),Lepidoptera,Nepticulidae,Stigmella,juglandifoliella,
pecan spittlebug,Clastoptera achatina Germar,Hemiptera,Cercopidae,Clastoptera,achatina,
pecan weevil,Curculio caryae (Horn),Coleoptera,Curculionidae,Curculio,caryae,
pepper maggot,Zonosemata electa (Say),Diptera,Tephritidae,Zonosemata,electa,
pepper weevil,Anthonomus eugenii Cano,Coleoptera,Curculionidae,Anthonomus,eugenii,
pepper-and-salt moth,Biston betularia cognataria (Guenée),Lepidoptera,Geometridae,Biston,betularia cognataria,
peppergrass beetle,Galeruca browni Blake,Coleoptera,Chrysomelidae,Galeruca,browni,
periodical cicada,Magicicada septendecim (Linnaeus),Hemiptera,Cicadidae,Magicicada,septendecim,
persimmon borer,Sannina uroceriformis Walker,Lepidoptera,Sesiidae,Sannina,uroceriformis,
persimmon psylla,Trioza diospyri (Ashmead),Hemiptera,Triozidae,Trioza,diospyri,
phantom hemlock looper,Nepytia phantasmaria (Strecker),Lepidoptera,Geometridae,Nepytia,phantasmaria,
Pharaoh ant,Monomorium pharaonis (Linnaeus),Hymenoptera,Formicidae,Monomorium,pharaonis,
Philippine katydid,Phaneroptera furcifera Stål,Orthoptera,Tettigoniidae,Phaneroptera,furcifera,
phlox plant bug,Lopidea davisi Knight,Hemiptera,Miridae,Lopidea,davisi,
pickerelweed borer,Bellura densa (Walker),Lepidoptera,Noctuidae,Bellura,densa,
pickleworm,Diaphania nitidalis Cramer,Lepidoptera,Crambidae,Diaphania,nitidalis,
pictured grasshopper,Dactylotum bicolor (Thomas),Orthoptera,Acrididae,Dactylotum,bicolor,
pigeon fly,Pseudolynchia canariensis (Macquart),Diptera,Hippoboscidae,Pseudolynchia,canariensis,
pigeon tremex,Tremex columba (Linnaeus),Hymenoptera,Siricidae,Tremex,columba,
pin oak kermes,Allokermes galliformis (Riley),Hemiptera,Kermesidae,Allokermes,galliformis,
pine bark adelgid,Pineus strobi (Hartig),Hemiptera,Adelgidae,Pineus,strobi,
pine bud mite,Trisetacus pini (Nalepa),Acari,Phytopidae,Trisetacus,pini,
pine butterfly,Neophasia menapia (Felder & Felder),Lepidoptera,Pieridae,Neophasia,menapia,
pine candle moth,Exoteleia nepheos Freeman,Lepidoptera,Gelechiidae,Exoteleia,nepheos,
pine chafer,Anomala oblivia Horn,Coleoptera,Scarabaeidae,Anomala,oblivia,
pine colaspis,Colaspis pini Barber,Coleoptera,Chrysomelidae,Colaspis,pini,
pine conelet bug,Pappus luridus (Reuter),Hemiptera,Miridae,Pappus,luridus,
pine conelet looper,Nepytia semiclusaria (Walker),Lepidoptera,Geometridae,Nepytia,semiclusaria,
pine engraver,Ips pini (Say),Coleoptera,Curculionidae,Ips,pini,
pine false webworm,Acantholyda erythrocephala (Linnaeus),Hymenoptera,Pamphiliidae,Acantholyda,erythrocephala,
pine gall weevil,Podapion gallicola Riley,Coleoptera,Brentidae,Podapion,gallicola,
pine leaf adelgid,Pineus pinifoliae (Fitch),Hemiptera,Adelgidae,Pineus,pinifoliae,
pine needle scale,Chionaspis pinifoliae (Fitch),Hemiptera,Diaspididae,Chionaspis,pinifoliae,
pine needle sheathminer,Zelleria haimbachi Busck,Lepidoptera,Yponomeutidae,Zelleria,haimbachi,
pine needleminer,Exoteleia pinifoliella (Chambers),Lepidoptera,Gelechiidae,Exoteleia,pinifoliella,
pine root collar weevil,Hylobius radicis Buchanan,Coleoptera,Curculionidae,Hylobius,radicis,
pine root tip weevil,Hylobius assimilis Boheman,Coleoptera,Curculionidae,Hylobius,assimilis,
pine rosette mite,Trisetacus gemmavitians Styer,Acari,Phytopidae,Trisetacus,gemmavitians,
pine spittlebug,Aphrophora cribrata (Walker),Hemiptera,Cercopidae,Aphrophora,cribrata,
pine tortoise scale,Toumeyella parvicornis (Cockerell),Hemiptera,Coccidae,Toumeyella,parvicornis,
pine tube moth,Argyrotaenia pinatubana (Kearfott),Lepidoptera,Tortricidae,Argyrotaenia,pinatubana,
pine tussock moth,Dasychira pinicola (Dyar),Lepidoptera,Erebidae,Dasychira,pinicola,
pine webworm,Pococera robustella Zeller,Lepidoptera,Pyralidae,Pococera,robustella,
pineapple false spider mite,Dolichotetranychus floridanus (Banks),Acari,Tenuipalpidae,Dolichotetranychus,floridanus,
pineapple mealybug,Dysmicoccus brevipes (Cockerell),Hemiptera,Pseudococcidae,Dysmicoccus,brevipes,
pineapple scale,Diaspis bromeliae (Kerner),Hemiptera,Diaspididae,Diaspis,bromeliae,
pineapple tarsonemid,Steneotarsonemus ananas (Tryon),Acari,Tarsonemidae,Steneotarsonemus,ananas,
pineapple weevil,Metamasius ritchiei Marshall,Coleoptera,Curculionidae,Metamasius,ritchiei,
pink bollworm,Pectinophora gossypiella (Saunders),Lepidoptera,Gelechiidae,Pectinophora,gossypiella,
pink hibiscus mealybug,Maconellicoccus hirsutus (Green),Hemiptera,Pseudococcidae,Maconellicoccus,hirsutus,
pink scavenger caterpillar,Pyroderces rileyi (Walsingham),Lepidoptera,Cosmopterigidae,Pyroderces,rileyi,
pink sugarcane mealybug,Saccharicoccus sacchari (Cockerell),Hemiptera,Pseudococcidae,Saccharicoccus,sacchari,
pinkstriped oakworm,Anisota virginiensis (Drury),Lepidoptera,Saturniidae,Anisota,virginiensis,
pinkwinged grasshopper,Atractomorpha sinensis Bolivar,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,
pinon cone beetle,Conophthorus edulis Hopkins,Coleoptera,Curculionidae,Conophthorus,edulis,
pinyon ips,Ips confusus (LeConte),Coleoptera,Curculionidae,Ips,confusus,
pinyon needle scale,Matsucoccus acalyptus (Herbert),Hemiptera,Matsucoccidae,Matsucoccus,acalyptus,
pinyon spindlegall midge,Pinyonia edulicola Gagné,Diptera,Cecidomyiidae,Pinyonia,edulicola,
pipevine swallowtail,Battus philenor (Linnaeus),Lepidoptera,Papilionidae,Battus,philenor,
pistol casebearer,Coleophora malivorella Riley,Lepidoptera,Coleophoridae,Coleophora,malivorella,
pitch mass borer,Synanthedon pini (Kellicott),Lepidoptera,Sesiidae,Synanthedon,pini,
pitch pine tip moth,Rhyacionia rigidana (Fernald),Lepidoptera,Tortricidae,Rhyacionia,rigidana,
pitch twig moth,Retinia comstockiana (Fernald),Lepidoptera,Tortricidae,Retinia,comstockiana,
pitch-eating weevil,Pachylobius picivorus (Germar),Coleoptera,Curculionidae,Pachylobius,picivorus,
pitcherplant mosquito,Wyeomyia smithii (Coquillett),Diptera,Culicidae,Wyeomyia,smithii,
pitless pinhole borer,Euplatypus parallelus (F.),Coleoptera,Curculionidae,Euplatypus,parallelus,
plains false wireworm,Eleodes opacus (Say),Coleoptera,Tenebrionidae,Eleodes,opacus,
plains lubber grasshopper,Brachystola magna (Girard),Orthoptera,Romaleidae,Brachystola,magna,
plaster beetle,Cartodere constricta (Gyllenhal),Coleoptera,Lathridiidae,Cartodere,constricta,
plum curculio,Conotrachelus nenuphar (Herbst),Coleoptera,Curculionidae,Conotrachelus,nenuphar,
plum gouger,Coccotorus scutellaris (LeConte),Coleoptera,Curculionidae,Coccotorus,scutellaris,
plum leafhopper,Macropsis trimaculatus (Fitch),Hemiptera,Cicadellidae,Macropsis,trimaculatus,
plum rust mite*,Aculus fockeui (Nalepa & Trouessart),Acari,Eriophyidae,Aculus,fockeui,
plum webspinning sawfly,Neurotoma inconspicua (Norton),Hymenoptera,Pamphiliidae,Neurotoma,inconspicua,
plumeria borer,Lagocheirus undatus (Voet),Coleoptera,Cerambycidae,Lagocheirus,undatus,
plumeria whitefly,Paraleyrodes perseae (Quaintance),Hemiptera,Aleyrodidae,Paraleyrodes,perseae,
podocarpus aphid,Neophyllaphis podocarpi Takahashi,Hemiptera,Aphididae,Neophyllaphis,podocarpi,
poinciana looper,Pericyma cruegeri (Butler),Lepidoptera,Erebidae,Pericyma,cruegeri,
polyphagous shothole borer,Euwallacea fornicatus (Eichhoff),Coleoptera,Curculionidae,Euwallacea,fornicatus,
polyphemus moth,Antheraea polyphemus (Cramer),Lepidoptera,Saturniidae,Antheraea,polyphemus,
pomegranate leafcurl mite,Eriophyes granati (Canestrini & Massalono),Acari,Eriophyidae,Eriophyes,granati,
ponderosa pine bark borer,Acanthocinus princeps (Walker),Coleoptera,Cerambycidae,Acanthocinus,princeps,
ponderosa pine coneworm,Dioryctria auranticella (Grote),Lepidoptera,Pyralidae,Dioryctria,auranticella,
ponderosa pine seedworm,Cydia piperana Kearfott,Lepidoptera,Tortricidae,Cydia,piperana,
ponderosa pine tip moth,Rhyacionia zozana (Kearfott),Lepidoptera,Tortricidae,Rhyacionia,zozana,
ponderosa pine twig scale,Matsucoccus bisetosus Morrison,Hemiptera,Matsucoccidae,Matsucoccus,bisetosus,
poplar borer,Saperda calcarata Say,Coleoptera,Cerambycidae,Saperda,calcarata,
poplar leaffolding sawfly,Phyllocolpa bozemani (Cooley),Hymenoptera,Tenthredinidae,Phyllocolpa,bozemani,
poplar petiolegall aphid,Pemphigus populitransversus Riley,Hemiptera,Aphididae,Pemphigus,populitransversus,
poplar tentmaker,Clostera inclusa (Hübner),Lepidoptera,Notodontidae,Clostera,inclusa,
poplar twig gall aphid,Pemphigus populiramulorum Riley,Hemiptera,Aphididae,Pemphigus,populiramulorum,
poplar twiggall fly,Hexomyza schineri (Giraud),Diptera,Agromyzidae,Hexomyza,schineri,
poplar vagabond aphid,Mordwilkoja vagabunda (Walsh),Hemiptera,Aphididae,Mordwilkoja,vagabunda,
poplar-and-willow borer,Cryptorhynchus lapathi (Linnaeus),Coleoptera,Curculionidae,Cryptorhynchus,lapathi,
portulaca leafmining weevil,Hypurus bertrandi Perris,Coleoptera,Curculionidae,Hypurus,bertrandi,
potato aphid,Macrosiphum euphorbiae (Thomas),Hemiptera,Aphididae,Macrosiphum,euphorbiae,
potato flea beetle,Epitrix cucumeris (Harris),Coleoptera,Chrysomelidae,Epitrix,cucumeris,
potato leafhopper,Empoasca fabae (Harris),Hemiptera,Cicadellidae,Empoasca,fabae,
potato psyllid*,Bactericera cockerelli (Sulc),Hemiptera,Triozidae,Bactericera,cockerelli,
potato scab gnat,Pnyxia scabiei (Hopkins),Diptera,Sciaridae,Pnyxia,scabiei,
potato stalk borer,Trichobaris trinotata (Say),Coleoptera,Curculionidae,Trichobaris,trinotata,
potato stem borer,Hydraecia micacea (Esper),Lepidoptera,Noctuidae,Hydraecia,micacea,
potato tuberworm,Phthorimaea operculella (Zeller),Lepidoptera,Gelechiidae,Phthorimaea,operculella,
poultry bug,Haematosiphon inodorus (Dugès),Hemiptera,Cimicidae,Haematosiphon,inodorus,
poultry house moth,Niditinea fuscella (Linnaeus),Lepidoptera,Tineidae,Niditinea,fuscella,
powderpost bostrichid,Amphicerus cornutus (Pallas),Coleoptera,Bostrichidae,Amphicerus,cornutus,
prairie flea beetle,Altica canadensis Gentner,Coleoptera,Chrysomelidae,Altica,canadensis,
prairie grain wireworm,Ctenicera aeripennis destructor (Brown),Coleoptera,Elateridae,Ctenicera,aeripennis destructor,
Prescott scale,Matsucoccus vexillorum Morrison,Hemiptera,Matsucoccidae,Matsucoccus,vexillorum,
privet aphid,Myzus ligustri (Mosley),Hemiptera,Aphididae,Myzus,ligustri,
privet leafminer,Caloptilia cuculipennella (Hübner),Lepidoptera,Gracillariidae,Caloptilia,cuculipennella,
privet mite,Brevipalpus obovatus Donnadieu,Acari,Tenuipalpidae,Brevipalpus,obovatus,
privet thrips,Dendrothrips ornatus (Jablonowski),Thysanoptera,Thripidae,Dendrothrips,ornatus,
promethea moth,Callosamia promethea (Drury),Lepidoptera,Saturniidae,Callosamia,promethea,
pruinose bean weevil,Stator pruininus (Horn),Coleoptera,Chrysomelidae,Stator,pruininus,
prune leafhopper,Edwardsiana prunicola (Edwards),Hemiptera,Cicadellidae,Edwardsiana,prunicola,
pubescent leaf kermes ,Nanokermes pubescens (Bogue),Hemiptera,Kermesidae,Nanokermes,pubescens,
Puget Sound wireworm,Ctenicera aeripennis aeripennis (Kirby),Coleoptera,Elateridae,Ctenicera,aeripennis aeripennis,
puncturevine seed weevil,Microlarinus lareynii (Jacquelin du Val),Coleoptera,Curculionidae,Microlarinus,lareynii,
puncturevine stem weevil,Microlarinus lypriformis (Wollaston),Coleoptera,Curculionidae,Microlarinus,lypriformis,
punky wood ambrosia beetle,Ambrosiodmus minor (Stebbing),Coleoptera,Curculionidae,Ambrosiodmus,minor,
purple scale,Lepidosaphes beckii (Newman),Hemiptera,Diaspididae,Lepidosaphes,beckii,
purplebacked cabbageworm,Evergestis pallidata (Hufnagel),Lepidoptera,Crambidae,Evergestis,pallidata,
purplespotted lily aphid,Macrosiphum lilii (Monell),Hemiptera,Aphididae,Macrosiphum,lilii,
puss caterpillar,Megalopyge opercularis (J.E. Smith),Lepidoptera,Megalopygidae,Megalopyge,opercularis,
Putnam scale,Diaspidiotus ancylus (Putnam),Hemiptera,Diaspididae,Diaspidiotus,ancylus,
pyramid ant,Dorymyrmex insanus (Buckley),Hymenoptera,Formicidae,Dorymyrmex,insanus,
pyriform scale,Protopulvinaria pyriformis (Cockerell),Hemiptera,Coccidae,Protopulvinaria,pyriformis,
quince curculio,Conotrachelus crataegi Walsh,Coleoptera,Curculionidae,Conotrachelus,crataegi,
quince treehopper,Glossonotus crataegi (Fitch),Hemiptera,Membracidae,Glossonotus,crataegi,
rabbit louse,Haemodipsus ventricosus (Denny),Phthiraptera,Polyplacidae,Haemodipsus,ventricosus,
rabbit tick,Haemaphysalis leporispalustris (Packard),Acari,Ixodidae,Haemaphysalis,leporispalustris,
ragweed borer,Epiblema strenuana (Walker),Lepidoptera,Tortricidae,Epiblema,strenuana,
ragweed plant bug,Chlamydatus associatus (Uhler),Hemiptera,Miridae,Chlamydatus,associatus,
rain beetles,Pleocoma spp.,Coleoptera,Scarabaeidae,Pleocoma,spp.,
raisin moth,Cadra figulilella (Gregson),Lepidoptera,Pyralidae,Cadra,figulilella,
range caterpillar,Hemileuca oliviae Cockerell,Lepidoptera,Saturniidae,Hemileuca,oliviae,
range crane fly,Tipula simplex Doane,Diptera,Tipulidae,Tipula,simplex,
rapid plant bug,Adelphocoris rapidus (Say)*,Hemiptera,Miridae,Adelphocoris,rapidus,
raspberry bud moth,Lampronia rubiella (Bjerkander),Lepidoptera,Prodoxidae,Lampronia,rubiella,
raspberry cane borer,Oberea bimaculata (Olivier),Coleoptera,Cerambycidae,Oberea,bimaculata,
raspberry cane maggot,Pegomya rubivora (Coquillett),Diptera,Anthomyiidae,Pegomya,rubivora,
raspberry crown borer,Pennisetia marginata (Harris),Lepidoptera,Sesiidae,Pennisetia,marginata,
raspberry fruitworm,Byturus unicolor Say,Coleoptera,Byturidae,Byturus,unicolor,
